GO_ID	Symbol
GO:0050794	S100A10
GO:0050794	TIPARP
GO:0050794	MAPK12
GO:0050794	SARS
GO:0050794	DAB2
GO:0050794	MIB1
GO:0050794	KIAA1324
GO:0050794	DRG2
GO:0050794	SERBP1
GO:0050794	KLHL42
GO:0050794	WDR35
GO:0050794	RCAN1
GO:0050794	PHF19
GO:0050794	NLGN2
GO:0050794	SLC8A1
GO:0050794	TRIM67
GO:0050794	SLC7A1
GO:0050794	SYDE1
GO:0050794	SLC16A1
GO:0050794	DOCK6
GO:0050794	DR1
GO:0050794	DPYSL3
GO:0050794	DUSP8
GO:0050794	PREX1
GO:0050794	ARHGEF26
GO:0050794	GPSM1
GO:0050794	SKI
GO:0050794	WDFY1
GO:0050794	SSH2
GO:0050794	SLC2A1
GO:0050794	HERC4
GO:0050794	DTNA
GO:0050794	FNIP2
GO:0050794	APPL1
GO:0050794	RHPN2
GO:0050794	ZIC5
GO:0050794	CCNB3
GO:0050794	ITPRIP
GO:0050794	PITPNM2
GO:0050794	KIAA1462
GO:0050794	SLC5A3
GO:0050794	LSM14A
GO:0050794	TSHZ3
GO:0050794	SHB
GO:0050794	SH3GL3
GO:0050794	DKC1
GO:0050794	DLG3
GO:0050794	PNPT1
GO:0050794	DLG4
GO:0050794	DLG1
GO:0050794	DLX1
GO:0050794	BLOC1S6
GO:0050794	SH3RF1
GO:0050794	SHMT2
GO:0050794	DGUOK
GO:0050794	USP28
GO:0050794	POGK
GO:0050794	DHODH
GO:0050794	DHFR
GO:0050794	FBXL5
GO:0050794	SIM2
GO:0050794	ARHGAP11B
GO:0050794	SFPQ
GO:0050794	SFRP1
GO:0050794	DYNC1H1
GO:0050794	SFRP4
GO:0050794	SRSF2
GO:0050794	SRSF3
GO:0050794	DNMT1
GO:0050794	BEND3
GO:0050794	RNF213
GO:0050794	SRSF6
GO:0050794	DNMT3B
GO:0050794	SRSF7
GO:0050794	EIF2AK4
GO:0050794	DOCK1
GO:0050794	DOCK2
GO:0050794	TRA2B
GO:0050794	ZSWIM6
GO:0050794	DNM1
GO:0050794	KIF26A
GO:0050794	RSL1D1
GO:0050794	TNRC6C
GO:0050794	SGTA
GO:0050794	NAV3
GO:0050794	SH3BP2
GO:0050794	MAPRE1
GO:0050794	EMD
GO:0050794	NCBP2
GO:0050794	MARK2
GO:0050794	DHX33
GO:0050794	ELK1
GO:0050794	ELK3
GO:0050794	ANKS1B
GO:0050794	ENSA
GO:0050794	WRNIP1
GO:0050794	DPYSL5
GO:0050794	EPAS1
GO:0050794	DPH7
GO:0050794	SHANK2
GO:0050794	HKR1
GO:0050794	ENO2
GO:0050794	TRPC1
GO:0050794	ENO1
GO:0050794	EPHA2
GO:0050794	TUBA4A
GO:0050794	EIF4E
GO:0050794	TPX2
GO:0050794	CDC42SE1
GO:0050794	EIF4EBP1
GO:0050794	PAXIP1
GO:0050794	DNAJC7
GO:0050794	CCT5
GO:0050794	TTK
GO:0050794	EIF2B1
GO:0050794	EIF2S3
GO:0050794	SCMH1
GO:0050794	SERPINB1
GO:0050794	ELAVL1
GO:0050794	PHLDA2
GO:0050794	SLC2A4RG
GO:0050794	EIF4G2
GO:0050794	EIF5A
GO:0050794	EIF5
GO:0050794	NINL
GO:0050794	ACIN1
GO:0050794	SP140L
GO:0050794	HAUS8
GO:0050794	EXOSC7
GO:0050794	EEF1D
GO:0050794	SPEN
GO:0050794	TPM1
GO:0050794	EEF1A2
GO:0050794	TPD52L1
GO:0050794	TPBG
GO:0050794	PHC2
GO:0050794	TP53BP2
GO:0050794	TP53
GO:0050794	EGFR
GO:0050794	SAMD4A
GO:0050794	KDM1A
GO:0050794	EFNB2
GO:0050794	EFNB1
GO:0050794	EFNA5
GO:0050794	PARP6
GO:0050794	EFNA3
GO:0050794	EFNA2
GO:0050794	NCOA6
GO:0050794	HIST3H2A
GO:0050794	TRIO
GO:0050794	SMG1
GO:0050794	TRIP6
GO:0050794	ZHX3
GO:0050794	TNIK
GO:0050794	SHKBP1
GO:0050794	E2F4
GO:0050794	RRP1B
GO:0050794	ARNTL2
GO:0050794	MYCBP2
GO:0050794	HSP90B1
GO:0050794	PMEPA1
GO:0050794	S1PR3
GO:0050794	TRAF2
GO:0050794	ECE1
GO:0050794	TYMP
GO:0050794	C17orf104
GO:0050794	EXPH5
GO:0050794	USF2
GO:0050794	LRP5L
GO:0050794	CDK19
GO:0050794	GOPC
GO:0050794	FABP5
GO:0050794	USP1
GO:0050794	MRPS27
GO:0050794	UNG
GO:0050794	TNRC6B
GO:0050794	USP4
GO:0050794	VDR
GO:0050794	ETV5
GO:0050794	METRNL
GO:0050794	VEGFA
GO:0050794	EVC
GO:0050794	VGF
GO:0050794	VIM
GO:0050794	ESAM
GO:0050794	EXT1
GO:0050794	KCTD1
GO:0050794	ANKLE2
GO:0050794	VLDLR
GO:0050794	EXTL2
GO:0050794	FMNL3
GO:0050794	DCUN1D4
GO:0050794	LRCH1
GO:0050794	EYA2
GO:0050794	VASP
GO:0050794	VAV1
GO:0050794	PTRF
GO:0050794	VAV2
GO:0050794	EZH2
GO:0050794	VBP1
GO:0050794	CCNL1
GO:0050794	F2R
GO:0050794	F2RL1
GO:0050794	VCL
GO:0050794	WDR43
GO:0050794	MAPK8IP3
GO:0050794	CABLES1
GO:0050794	ERF
GO:0050794	ATP10A
GO:0050794	NUP205
GO:0050794	ELMSAN1
GO:0050794	SEPT8
GO:0050794	METAP1
GO:0050794	GPD1L
GO:0050794	KANK1
GO:0050794	LARP4B
GO:0050794	RGL1
GO:0050794	ETS2
GO:0050794	FAM58A
GO:0050794	FBXL7
GO:0050794	ETS1
GO:0050794	TYMS
GO:0050794	ZMIZ1
GO:0050794	CYFIP1
GO:0050794	ARL6IP1
GO:0050794	UBP1
GO:0050794	FAM168A
GO:0050794	UBTF
GO:0050794	EPHB2
GO:0050794	UGCG
GO:0050794	RRS1
GO:0050794	EPHB4
GO:0050794	EPHA5
GO:0050794	SMURF1
GO:0050794	ZC3H4
GO:0050794	CLN8
GO:0050794	BOC
GO:0050794	RHOBTB2
GO:0050794	MYADM
GO:0050794	EPRS
GO:0050794	UBE2D2
GO:0050794	UBE2V2
GO:0050794	SYT12
GO:0050794	NUP210
GO:0050794	PLCL2
GO:0050794	NR2F6
GO:0050794	UBE2N
GO:0050794	MLX
GO:0050794	TCOF1
GO:0050794	MGA
GO:0050794	FN1
GO:0050794	DNMBP
GO:0050794	CAMSAP2
GO:0050794	WWC3
GO:0050794	BRK1
GO:0050794	PPP2R2D
GO:0050794	CISD1
GO:0050794	ITFG2
GO:0050794	ZNF354A
GO:0050794	DENND5A
GO:0050794	BOP1
GO:0050794	WSB2
GO:0050794	FLNA
GO:0050794	FLNB
GO:0050794	FOXE1
GO:0050794	KIAA0922
GO:0050794	FOXD1
GO:0050794	TRERF1
GO:0050794	FOXC2
GO:0050794	SAAL1
GO:0050794	FOXL1
GO:0050794	VPS26B
GO:0050794	FOXF2
GO:0050794	CAND1
GO:0050794	WWC1
GO:0050794	FKBP1A
GO:0050794	TCTA
GO:0050794	KLHL18
GO:0050794	DCAF6
GO:0050794	FHL2
GO:0050794	FHL3
GO:0050794	NUP160
GO:0050794	FGFR2
GO:0050794	DOCK9
GO:0050794	FGFR1
GO:0050794	TAF1
GO:0050794	GNG12
GO:0050794	FGF12
GO:0050794	FGF2
GO:0050794	GPC4
GO:0050794	FER
GO:0050794	DNAJC13
GO:0050794	TBP
GO:0050794	NCSTN
GO:0050794	TBCD
GO:0050794	ZNF395
GO:0050794	SULF2
GO:0050794	HNF1B
GO:0050794	TRIM9
GO:0050794	TCF3
GO:0050794	TENC1
GO:0050794	PUM2
GO:0050794	TCF4
GO:0050794	EFEMP1
GO:0050794	RCC2
GO:0050794	TCEA1
GO:0050794	TIAM1
GO:0050794	TIMP1
