GO_ID	Symbol
GO:0050789	SSBP2
GO:0050789	SP100
GO:0050789	GBA2
GO:0050789	CPT2
GO:0050789	CDC42EP4
GO:0050789	DDAH1
GO:0050789	SOX12
GO:0050789	ARL2BP
GO:0050789	RAP2C
GO:0050789	SOX4
GO:0050789	TIPRL
GO:0050789	CPE
GO:0050789	LSM2
GO:0050789	AJUBA
GO:0050789	MAGI3
GO:0050789	ORC6
GO:0050789	UBASH3B
GO:0050789	GATAD1
GO:0050789	SOD2
GO:0050789	DDX58
GO:0050789	MARK4
GO:0050789	ABHD17C
GO:0050789	CADM1
GO:0050789	PLK3
GO:0050789	RHOU
GO:0050789	TOX2
GO:0050789	FSCN1
GO:0050789	ZBED5
GO:0050789	SNRPA
GO:0050789	KCNE4
GO:0050789	COL1A1
GO:0050789	COL3A1
GO:0050789	COL4A1
GO:0050789	PTBP2
GO:0050789	CNN2
GO:0050789	SMARCE1
GO:0050789	SMPD1
GO:0050789	COL7A1
GO:0050789	SMARCB1
GO:0050789	HLTF
GO:0050789	SNX6
GO:0050789	SSBP3
GO:0050789	SMARCC2
GO:0050789	SMARCD1
GO:0050789	SLC7A11
GO:0050789	SLIT3
GO:0050789	COL4A5
GO:0050789	COL4A2
GO:0050789	COL4A3
GO:0050789	COL5A2
GO:0050789	COL4A6
GO:0050789	COL5A1
GO:0050789	SNAI2
GO:0050789	EDC4
GO:0050789	CACTIN
GO:0050789	SH3BP4
GO:0050789	KMT2C
GO:0050789	KLF6
GO:0050789	PRKD3
GO:0050789	SLC16A2
GO:0050789	COL16A1
GO:0050789	ARHGAP22
GO:0050789	TMEM2
GO:0050789	PAQR8
GO:0050789	CST3
GO:0050789	PLEKHA2
GO:0050789	HINT2
GO:0050789	PPP1R9B
GO:0050789	ZNF318
GO:0050789	GNB4
GO:0050789	KDM2B
GO:0050789	SLC9A7
GO:0050789	CBY1
GO:0050789	SUN2
GO:0050789	CTNNA1
GO:0050789	HIVEP3
GO:0050789	CTBP2
GO:0050789	EML3
GO:0050789	SUPT5H
GO:0050789	SUV39H1
GO:0050789	SVIL
GO:0050789	VAMP2
GO:0050789	SIGIRR
GO:0050789	CTNNB1
GO:0050789	PSRC1
GO:0050789	STX3
GO:0050789	CTSB
GO:0050789	FLRT1
GO:0050789	FLRT2
GO:0050789	FAM3A
GO:0050789	AFAP1
GO:0050789	GPBP1L1
GO:0050789	STC1
GO:0050789	STK10
GO:0050789	MTCH1
GO:0050789	STK11
GO:0050789	TGIF2
GO:0050789	EDA2R
GO:0050789	AURKA
GO:0050789	FAM220A
GO:0050789	ST5
GO:0050789	PAPPA2
GO:0050789	CRKL
GO:0050789	HECTD1
GO:0050789	CRK
GO:0050789	CRY2
GO:0050789	STAT3
GO:0050789	STAT5B
GO:0050789	NALCN
GO:0050789	RINT1
GO:0050789	CRYM
GO:0050789	TROVE2
GO:0050789	SSBP1
GO:0050789	CIDEC
GO:0050789	CSK
GO:0050789	SPTBN2
GO:0050789	CSNK1A1
GO:0050789	SPTB
GO:0050789	CSNK1D
GO:0050789	SPTBN1
GO:0050789	SRI
GO:0050789	SRC
GO:0050789	TNFAIP8
GO:0050789	SREBF1
GO:0050789	NEGR1
GO:0050789	UBE2O
GO:0050789	SRP9
GO:0050789	RNF169
GO:0050789	SEL1L
GO:0050789	PHLDB2
GO:0050789	DDX6
GO:0050789	RWDD3
GO:0050789	GADD45A
GO:0050789	DPH6
GO:0050789	SAPCD2
GO:0050789	DDB2
GO:0050789	WWTR1
GO:0050789	DDB1
GO:0050789	DCTN1
GO:0050789	CLIC4
GO:0050789	DBN1
GO:0050789	ATL3
GO:0050789	LCORL
GO:0050789	NELFB
GO:0050789	MIF4GD
GO:0050789	POT1
GO:0050789	RNF19A
GO:0050789	INTS7
GO:0050789	ZNF473
GO:0050789	CX3CL1
GO:0050789	RPL36
GO:0050789	MPC2
GO:0050789	WDR18
GO:0050789	LTN1
GO:0050789	MCU
GO:0050789	SCN1B
GO:0050789	SIPA1L1
GO:0050789	ERI1
GO:0050789	CHD5
GO:0050789	ARID1B
GO:0050789	SUSD5
GO:0050789	HEG1
GO:0050789	NLN
GO:0050789	SAMD1
GO:0050789	SCN8A
GO:0050789	KIAA1211
GO:0050789	SCN9A
GO:0050789	S100A11
GO:0050789	DAXX
GO:0050789	DGKA
GO:0050789	S100A4
GO:0050789	S100A6
GO:0050789	S100A10
GO:0050789	DAP
GO:0050789	TIPARP
GO:0050789	MAPK12
GO:0050789	SARS
GO:0050789	TBC1D14
GO:0050789	DAB2
GO:0050789	MIB1
GO:0050789	KIAA1324
GO:0050789	SH2B1
GO:0050789	SERBP1
GO:0050789	RCAN1
GO:0050789	PHF19
GO:0050789	SLC8A1
GO:0050789	CNOT6L
GO:0050789	TES
GO:0050789	SLC7A1
GO:0050789	SYDE1
GO:0050789	SEMA6A
GO:0050789	SLC16A1
GO:0050789	DR1
GO:0050789	DPYSL3
GO:0050789	DPYSL2
GO:0050789	ZCCHC3
GO:0050789	SKP2
GO:0050789	PREX1
GO:0050789	DUT
GO:0050789	SKI
GO:0050789	UNK
GO:0050789	SKIL
GO:0050789	DUSP7
GO:0050789	WDFY1
GO:0050789	SSH2
GO:0050789	SLC2A1
GO:0050789	HERC4
GO:0050789	DTNA
GO:0050789	FNIP2
GO:0050789	APPL1
GO:0050789	RHPN2
GO:0050789	AUTS2
GO:0050789	ECM2
GO:0050789	POLDIP2
GO:0050789	PITPNM2
GO:0050789	SLAIN2
GO:0050789	SHB
GO:0050789	DKC1
GO:0050789	DLG3
GO:0050789	DLG4
GO:0050789	DLG1
GO:0050789	DLX1
GO:0050789	NKX2-8
GO:0050789	BLOC1S6
GO:0050789	SH3RF1
GO:0050789	SHMT2
GO:0050789	PHGDH
GO:0050789	DGUOK
GO:0050789	USP28
GO:0050789	POGK
GO:0050789	TIAM2
GO:0050789	DHFR
GO:0050789	ST3GAL1
GO:0050789	DIO2
GO:0050789	SIM2
GO:0050789	ARHGAP11B
GO:0050789	SFRP1
GO:0050789	SFRP4
GO:0050789	SRSF3
GO:0050789	PITPNC1
GO:0050789	SRSF5
GO:0050789	RNF213
GO:0050789	DNMT3B
GO:0050789	SRSF6
GO:0050789	EIF2AK4
GO:0050789	GPAM
GO:0050789	DOCK1
GO:0050789	DOCK2
GO:0050789	ABCA12
GO:0050789	ZSWIM6
GO:0050789	DNM1
GO:0050789	KIF26A
GO:0050789	TNRC6C
GO:0050789	SGK1
GO:0050789	SGTA
GO:0050789	NAV3
GO:0050789	SH3BP2
GO:0050789	SH3GL1
GO:0050789	EMP2
GO:0050789	MAPRE1
GO:0050789	MARK2
GO:0050789	KIFAP3
GO:0050789	DHX33
GO:0050789	ELK3
GO:0050789	ANKS1B
GO:0050789	WRNIP1
GO:0050789	DPH7
GO:0050789	SHANK2
GO:0050789	HKR1
GO:0050789	ENO2
GO:0050789	ENO1
GO:0050789	TUBA4A
GO:0050789	EIF4B
GO:0050789	TPX2
GO:0050789	CDC42SE1
GO:0050789	EIF4EBP1
GO:0050789	EIF2S1
GO:0050789	TTK
GO:0050789	SCMH1
GO:0050789	SERPINB1
GO:0050789	ELF1
GO:0050789	SLC2A4RG
GO:0050789	EIF4G2
GO:0050789	TCF25
GO:0050789	NINL
GO:0050789	ACIN1
GO:0050789	SP140L
GO:0050789	EEF2
GO:0050789	EEF1D
GO:0050789	TPM1
GO:0050789	EEF1A1
GO:0050789	EEF1A2
GO:0050789	TPD52L1
GO:0050789	TPBG
GO:0050789	PHC2
GO:0050789	TP53
GO:0050789	EGFR
GO:0050789	SAMD4A
GO:0050789	CELSR3
GO:0050789	KDM1A
GO:0050789	EFNB2
GO:0050789	EFNB1
GO:0050789	EFNA3
GO:0050789	EFNA2
GO:0050789	NCOA6
GO:0050789	TRIO
GO:0050789	TRIP6
GO:0050789	ZHX3
GO:0050789	EBF1
GO:0050789	SHKBP1
GO:0050789	ARNTL2
GO:0050789	MYCBP2
GO:0050789	HSP90B1
GO:0050789	PMEPA1
GO:0050789	S1PR3
GO:0050789	ECM1
GO:0050789	ECE1
GO:0050789	TYMP
GO:0050789	TPT1
GO:0050789	F12
GO:0050789	EXPH5
GO:0050789	SIPA1L3
GO:0050789	USF2
GO:0050789	USF1
GO:0050789	CDK19
GO:0050789	GOPC
GO:0050789	FABP5
GO:0050789	ACSL3
GO:0050789	MRPS27
GO:0050789	TNRC6B
GO:0050789	USP4
GO:0050789	VDR
GO:0050789	ETV5
GO:0050789	METRNL
GO:0050789	EVC
GO:0050789	VGF
GO:0050789	VHL
GO:0050789	VIM
GO:0050789	ESAM
GO:0050789	MAST2
GO:0050789	KCTD1
GO:0050789	ANKLE2
GO:0050789	VLDLR
GO:0050789	EXTL2
GO:0050789	DCUN1D4
GO:0050789	EXTL3
GO:0050789	LRCH1
GO:0050789	ACKR3
GO:0050789	EYA2
GO:0050789	VASP
GO:0050789	VAV1
GO:0050789	VAV2
GO:0050789	EZH2
GO:0050789	CIC
GO:0050789	F2R
GO:0050789	F2RL1
GO:0050789	VCL
GO:0050789	VDAC1
GO:0050789	CABLES1
GO:0050789	TTLL12
GO:0050789	ATP10A
GO:0050789	UBE2D1
GO:0050789	SEPT8
GO:0050789	METAP1
GO:0050789	GPD1L
GO:0050789	KANK1
GO:0050789	ZADH2
GO:0050789	HIRA
GO:0050789	RGL1
GO:0050789	ETS2
GO:0050789	FBXL7
GO:0050789	ETS1
GO:0050789	TYMS
GO:0050789	ZMIZ1
GO:0050789	CYFIP1
GO:0050789	ARL6IP1
GO:0050789	UBP1
GO:0050789	FAM168A
GO:0050789	EPB41L2
GO:0050789	UBTF
GO:0050789	EPHB2
GO:0050789	EPHB4
GO:0050789	EPHA5
GO:0050789	SMURF1
GO:0050789	EPHA4
GO:0050789	ZC3H4
GO:0050789	BOC
GO:0050789	RHOBTB2
GO:0050789	EPOR
GO:0050789	MYADM
GO:0050789	EPRS
GO:0050789	UBE2I
GO:0050789	UBE2D2
GO:0050789	TBC1D1
GO:0050789	DEPDC7
GO:0050789	ERBB3
GO:0050789	RTN4
GO:0050789	TBC1D12
GO:0050789	SYT12
GO:0050789	EPS8
GO:0050789	UBE2L3
GO:0050789	NUP210
GO:0050789	PLCL2
GO:0050789	NR2F6
GO:0050789	PIK3IP1
GO:0050789	FN1
GO:0050789	DNMBP
GO:0050789	WWC3
GO:0050789	BRK1
GO:0050789	CISD1
GO:0050789	ITFG2
GO:0050789	ZNF354A
GO:0050789	DENND5A
GO:0050789	PBK
GO:0050789	WSB2
GO:0050789	FLNA
GO:0050789	FLNB
GO:0050789	FOXE1
GO:0050789	PHLPP1
GO:0050789	FOXO3
GO:0050789	ASH1L
GO:0050789	AHNAK2
GO:0050789	FOXD1
GO:0050789	TRERF1
GO:0050789	FOXC2
GO:0050789	FOXL1
GO:0050789	VPS26B
GO:0050789	FOXF2
