gene	gfp_1	gfp_2	gfp_3	mep50_1	mep50_2	mep50_3	prmt5_1	prmt5_2	prmt5_3
MTURN	2.813581786387451	2.906452650203705	1.5975318534097847	0.20966807157151623	0.9855560349757233	1.0146645946461363	0.5146502309459795	1.4838079542568539	0.5230018986916188
MTUS1	730.8278690141403	744.9697056048444	769.5746628380408	619.3594834222589	655.0005408448658	670.5483449761467	595.6218672814803	566.4099636295026	610.4739662477921
MTX1	35.34562119149235	41.149250679199824	33.69339909009727	35.22423602401473	32.720460361194014	29.13536907483906	29.849713394866807	29.811050717342244	31.249363446824226
MTX2	47.47919264528823	50.02157982192693	49.233027118719725	38.578925169158985	44.74424398789784	39.57191919119932	33.79536516545265	41.00705619037123	42.23240331934822
MTX3	45.36900630549764	39.772509950155964	37.75984380786763	26.20850894643953	25.427345702373664	27.395944055445682	47.86247147797609	41.41173108698674	44.062909964768885
MUC1	2.1101863397905882	1.2237695369278758	1.1618413479343888	0.41933614314303247	1.1826672419708681	1.7394250193933767	0.8577503849099657	0.6744581610258427	0.6537523733645235
MUC13	6.50640788102098	3.9772509950155963	5.228286065704749	6.290042147145487	4.139335346898038	5.798083397977923	0.8577503849099657	0.26978326441033706	0.6537523733645235
MUC16	11.254327145549803	10.707983448118913	9.149500614983312	3.3546891451442598	3.7451129329077486	1.7394250193933767	2.401701077747904	1.3489163220516853	3.2687618668226177
MUC19	0.17584886164921568	0.15297119211598448	1.0166111794425903	0.20966807157151623	0.5913336209854341	0.14495208494944806	0	0.5395665288206741	0.2615009493458094
MUC20	0.5275465849476471	0.45891357634795343	0.2904603369835972	0	0	0.14495208494944806	0	0.13489163220516853	0.1307504746729047
MUC3A	0.17584886164921568	0	0.1452301684917986	0.6290042147145487	0.19711120699514467	0.2899041698988961	0.3431001539639863	0.5395665288206741	0.2615009493458094
MUC5B	0.8792443082460784	1.9886254975077982	1.5975318534097847	0	0	0.43485625484834417	0.6862003079279726	0	0.5230018986916188
MUL1	29.1909110337698	30.594238423196895	28.02942251891713	21.80547944343769	23.062011218431927	20.14833980797328	21.443759622749145	22.93157747487865	21.704578795702183
